"序号","名称","地址","标签","百度链接","电话","营业时间","总体评分","签到数"
1,"茶","北京市通州区","购物","http://api.map.baidu.com/place/detail?uid=ab024cd7483a6319cae33c48&output=html&source=placeapi_v2","","","0",""
2,"茶","东城区永定门外大街景泰公园北侧","购物","http://api.map.baidu.com/place/detail?uid=dcd3cf6a85e65d50d5851f34&output=html&source=placeapi_v2","","","",""
3,"茶","北京市石景山区","美食;茶座","http://api.map.baidu.com/place/detail?uid=c552d52b5d8c1ecd940319a0&output=html&source=placeapi_v2","","","",""
4,"茶","北京市大兴区","购物","http://api.map.baidu.com/place/detail?uid=c3885ccdfa229270c72ba15d&output=html&source=placeapi_v2","","","",""
5,"茶","北京市朝阳区金台路万惠商场(金台里店)1层","购物","http://api.map.baidu.com/place/detail?uid=a41b588deb54176894ec849f&output=html&source=placeapi_v2","","","5",""
6,"茶","北京西城区铁树斜街81号","美食;茶座","http://api.map.baidu.com/place/detail?uid=48ee8fc388a13bbdca09f066&output=html&source=placeapi_v2","","","5",""
7,"茶","北京市朝阳区","美食;茶座","http://api.map.baidu.com/place/detail?uid=ed4a30e8ece3fdbb0ab93a55&output=html&source=placeapi_v2","","","",""
8,"烟酒茶","张凤路","购物;商铺","http://api.map.baidu.com/place/detail?uid=bf3f6ee6141125f095f08c0c&output=html&source=placeapi_v2","","","",""
9,"烟酒茶","长陵营B商12号","购物;商铺","http://api.map.baidu.com/place/detail?uid=fa30d40a0603ba224207c1a5&output=html&source=placeapi_v2","","","",""
10,"烟酒茶","北京市海淀区","购物;商铺","http://api.map.baidu.com/place/detail?uid=b8b806c52010078a8bfc0628&output=html&source=placeapi_v2","","","",""
11,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=50bf419185c48feb1b94c69b&output=html&source=placeapi_v2","","","",""
12,"烟酒茶","北京市海淀区花园路10号","购物;商铺","http://api.map.baidu.com/place/detail?uid=67de9f1da37ef00f90114c9b&output=html&source=placeapi_v2","","","",""
13,"烟酒茶","北京市朝阳区","购物;商铺","http://api.map.baidu.com/place/detail?uid=8fde79cc016d22bc95ca0746&output=html&source=placeapi_v2","","","",""
14,"烟酒茶","北京市大兴区","购物;商铺","http://api.map.baidu.com/place/detail?uid=6dbcf0b74058c822e912e4bf&output=html&source=placeapi_v2","","","0",""
15,"烟酒茶","农大南路33号","购物;商铺","http://api.map.baidu.com/place/detail?uid=ebcff294de4f7e109a00506d&output=html&source=placeapi_v2","","","",""
16,"烟酒茶","北京市石景山区古城南路14栋1层","购物;商铺","http://api.map.baidu.com/place/detail?uid=37a8d9eea67ce8e688b9882f&output=html&source=placeapi_v2","","","",""
17,"烟酒茶","槐柏树街北里","购物","http://api.map.baidu.com/place/detail?uid=b22f2bccbceb7defbea2408a&output=html&source=placeapi_v2","","","5",""
18,"烟酒茶","北京市房山区","购物;商铺","http://api.map.baidu.com/place/detail?uid=7b3719b595b043da931fc93e&output=html&source=placeapi_v2","","","",""
19,"烟酒茶","鼓楼东大街17-13","购物;商铺","http://api.map.baidu.com/place/detail?uid=3f7cfbfcd25d45e4a2046469&output=html&source=placeapi_v2","","","0",""
20,"烟酒茶","北京市昌平区","购物;商铺","http://api.map.baidu.com/place/detail?uid=2abd2b00ca21d1c8cf04efb7&output=html&source=placeapi_v2","","","",""
