"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
1,"张一元茶庄(三环新城分店)","北京市丰台区丰桥路三环新城8号院甲1-15底商","(010)83630796","购物;商铺","http://api.map.baidu.com/place/detail?uid=5c56edd66ddd4343a0d230bc&output=html&source=placeapi_v2","11","","4.3",""
2,"吴裕泰茶庄(东大街店)","北京市丰台区丰台东大街游泳场顺天府超市南侧","010-63811334","购物;商铺","http://api.map.baidu.com/place/detail?uid=480b24d0eea8fa8c9cec2b3f&output=html&source=placeapi_v2","5","","",""
3,"吴裕泰茶庄","丰管路9号院(近致美惠欧洲站服饰)","(010)63773727","购物;商铺","http://api.map.baidu.com/place/detail?uid=379af1a6e116000442afe604&output=html&source=placeapi_v2","11","","",""
4,"三益茶庄","丰益桥丰管路16号院9号楼1001室,西国贸酒大酒店楼下","(010)63870003","美食;茶座","http://api.map.baidu.com/place/detail?uid=0dc3d82dc27a3b7575e5b6cf&output=html&source=placeapi_v2","10","","4.8",""
5,"泓丰茶楼","益泽路丽泽景园16号楼底商(美克美家)","010-57213960","购物;商铺","http://api.map.baidu.com/place/detail?uid=14bbd95eaffbc2c4770269dc&output=html&source=placeapi_v2","20","","4.2",""
6,"吴裕泰茶庄","北京市丰台区西四环南路32-6号(丰台区国税局北侧)","010-63808401","购物;商铺","http://api.map.baidu.com/place/detail?uid=2fd2beab81c2e24b7bdbd286&output=html&source=placeapi_v2","10","","5",""
7,"北京世纪缘缘茶楼服务中心","丰北路351路公共汽车总站院内办公楼","(010)56241959","美食;茶座","http://api.map.baidu.com/place/detail?uid=97cd224433eb121273210be8&output=html&source=placeapi_v2","1","","",""
8,"一曲水茶楼(万丰路店)","北京市丰台区望园东里31号楼103室","(010)83733587","美食;茶座","http://api.map.baidu.com/place/detail?uid=5c56edd669e14743a0d230f8&output=html&source=placeapi_v2","30","","5",""
9,"美誉唐茶楼","太平桥中路华源四里7号楼","010-63379505","购物;商铺","http://api.map.baidu.com/place/detail?uid=03840e1df3d20450213bf2f9&output=html&source=placeapi_v2","8","","",""
10,"吟润茶庄","北京马连道茶缘茶城西广场6号A","(010)51809319,13811708520","购物;商铺","http://api.map.baidu.com/place/detail?uid=1ec44f0e58f13b8f8bdb7302&output=html&source=placeapi_v2","2","","",""
11,"露雨茗苑茶庄","北京市西城区茶缘茶城西广场3号(近马连道家乐福)","(010)51809870","购物;商铺","http://api.map.baidu.com/place/detail?uid=e5d0f6de7c0f2e6f99005069&output=html&source=placeapi_v2","1","","",""
12,"嘉茗阁茶楼","茶马街8号院5号楼1101室","(010)63634719","美食;茶座","http://api.map.baidu.com/place/detail?uid=8c590f91ea2df559bda240ed&output=html&source=placeapi_v2","8","","5",""
13,"昌德号茶庄","马连道路甲18号楼底商","","购物;商铺","http://api.map.baidu.com/place/detail?uid=2a162a9a9f3fb27cf02d831c&output=html&source=placeapi_v2","6","","5",""
14,"万众香茶庄(红莲南路)","马连道路甲18号院1号楼","(010)63461066","购物;商铺","http://api.map.baidu.com/place/detail?uid=d24e48eb71aba4b4afee7aed&output=html&source=placeapi_v2","19","","",""
15,"有朋普洱茶庄","丰台区马连道茶缘茶城南楼1-2号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=83eb50326a7b6faf364aae4b&output=html&source=placeapi_v2","13","","",""
16,"琛山园茶庄","西城区京闽茶城B1楼18号(近马连道茶城)","(010)63315781","美食;茶座","http://api.map.baidu.com/place/detail?uid=ec5173df7d4ed6eae9f853db&output=html&source=placeapi_v2","1","","",""
17,"佰京华子茶庄(北京店)","马连道路23号楼底商(近茶马大厦)","13911760671","购物;商铺","http://api.map.baidu.com/place/detail?uid=3f9337d60b0193aaf62310b1&output=html&source=placeapi_v2","5","","",""
18,"满庭芳茶庄(北京茶叶总公司品牌商务楼西)","茶叶总公司白楼南区009-3号(北京茶叶总公司品牌商务楼西)","","购物;商铺","http://api.map.baidu.com/place/detail?uid=c7cede0565bedc69f42310cd&output=html&source=placeapi_v2","4","","",""
