"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
1,"烟酒茶","北京市房山区","","购物;商铺","http://api.map.baidu.com/place/detail?uid=7b3719b595b043da931fc93e&output=html&source=placeapi_v2","2","","",""
2,"烟酒茶","北京市房山区","","购物;商铺","http://api.map.baidu.com/place/detail?uid=db40ca2bf682c006028972d1&output=html&source=placeapi_v2","1","","",""
3,"精品烟酒茶","行宫园二里10","(010)89350987","购物;商铺","http://api.map.baidu.com/place/detail?uid=3f9337d6f3688bb0f62310b3&output=html&source=placeapi_v2","2","","",""
4,"烟酒茶超市","北京市房山区长虹东路","","购物;商铺","http://api.map.baidu.com/place/detail?uid=bc83cc28a625d5494d2fdf67&output=html&source=placeapi_v2","2","","",""
5,"广盛精品烟酒茶","拱辰大街3号附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=28d9f5b235f34f88ebe58261&output=html&source=placeapi_v2","3","","",""
6,"烟酒茶超市","良乡拱辰大街3号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=e169dbea491efafb95ca07a2&output=html&source=placeapi_v2","5","","",""
7,"烟酒茶超市","苏庄二里甲14","","购物;商铺","http://api.map.baidu.com/place/detail?uid=1a8f215a31cb304fb45f1ecc&output=html&source=placeapi_v2","3","","",""
8,"祥全烟酒茶","北潞冠1-15号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=f696f3c2de965d961b11d531&output=html&source=placeapi_v2","4","","5",""
9,"恒利发烟酒茶","良乡西路西路南里小区甲4号楼底商","","购物;商铺","http://api.map.baidu.com/place/detail?uid=3c2356c5e792c044f82213d2&output=html&source=placeapi_v2","5","","",""
10,"北京自创鹏飞烟酒茶","政通西路路口西南150米","","购物;商铺","http://api.map.baidu.com/place/detail?uid=ae59f53a4aee2373cc06a4d9&output=html&source=placeapi_v2","2","","",""
11,"名烟酒茶商行","苏庄中街","13718278891","购物;商铺","http://api.map.baidu.com/place/detail?uid=f0c2403c4800a6953be4a691&output=html&source=placeapi_v2","1","","",""
12,"西海烟酒茶超市","东沿村南街附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=3f5dbea5ec8adba4e3110307&output=html&source=placeapi_v2","2","","",""
13,"维康烟酒茶","良乡苏庄大街","","购物;商铺","http://api.map.baidu.com/place/detail?uid=3fb277a5072cb17812882481&output=html&source=placeapi_v2","21","","",""
14,"逸品茶生活","北京市房山区北大街20号","","美食;茶座","http://api.map.baidu.com/place/detail?uid=bb676432253b2ff72dfaa77a&output=html&source=placeapi_v2","2","","",""
15,"盛鑫汇烟酒茶","西潞南大街3号附近","(010)69371850","购物;商铺","http://api.map.baidu.com/place/detail?uid=1de504e7dccf748c6a49f3b1&output=html&source=placeapi_v2","6","","",""
16,"三人行茶","苏庄东街甲2","","购物;商铺","http://api.map.baidu.com/place/detail?uid=9e90a78a8696e6a36f3e1b65&output=html&source=placeapi_v2","2","","",""
17,"妙茶","北京市房山区拱辰南大街123号良辰百货4层","","美食","http://api.map.baidu.com/place/detail?uid=1186243db7edf6c4d2f49e55&output=html&source=placeapi_v2","1","","5",""
18,"润茗轩普洱茶舍","北京市房山区良乡北潞园东门","13146242929","美食;茶座","http://api.map.baidu.com/place/detail?uid=36569bf9a74a4f54c26c14b6&output=html&source=placeapi_v2","7","","",""
