"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
1,"丹江茶楼","紫园北路","","美食;茶座","http://api.map.baidu.com/place/detail?uid=6e71c5aa0f70cc703913fd37&output=html&source=placeapi_v2","1","","",""
2,"张一元茶庄良乡苏庄分店","良乡苏庄大街三里商业街4号底商","(010)69389925","购物;商铺","http://api.map.baidu.com/place/detail?uid=d9a5c3de1f34811d3c9a5eda&output=html&source=placeapi_v2","6","","1",""
3,"天赐清香阁茶庄","月华北大街10号旭日嘉业快捷酒店附近","","美食;茶座","http://api.map.baidu.com/place/detail?uid=0a8b27d9a0f7de528b2fb553&output=html&source=placeapi_v2","5","","5",""
4,"张一元茶庄良乡NO.2","房山区良乡北秀大街12号","(010)69382798","购物;商铺","http://api.map.baidu.com/place/detail?uid=9ee7cc78f134bc7016c905fa&output=html&source=placeapi_v2","20","","4.3",""
5,"张一元茶庄良乡NO.1","房山区良乡西潞1号（瑞祥市场底商）","(010)69353795","购物;商铺","http://api.map.baidu.com/place/detail?uid=81d6a509d6a942596f20b9a5&output=html&source=placeapi_v2","9","","3.8",""
6,"九云杉茶庄","良乡西潞北大街65号楼1-102","010-81380797","购物;商铺","http://api.map.baidu.com/place/detail?uid=e85e25279cd60f2e95f08cd4&output=html&source=placeapi_v2","8","","5",""
7,"圣轩茶楼","良乡西潞北大街73号","(010)69379383","美食;茶座","http://api.map.baidu.com/place/detail?uid=435d7aeaf5f5ae2c5bbbbcba&output=html&source=placeapi_v2","2","","4",""
8,"吴裕泰茶庄","北京市房山区良乡镇政通路西里小区2号楼底商北起第1号房间","(010)89360161","购物;商铺","http://api.map.baidu.com/place/detail?uid=6ebfc124ae99626d4251c0f6&output=html&source=placeapi_v2","14","","4",""
9,"阿里山茶楼","近郊房山区广阳西路5号","","美食;茶座","http://api.map.baidu.com/place/detail?uid=ac2a8af7111072d058f6be2a&output=html&source=placeapi_v2","1","","",""
10,"鑫顺茶庄","北京市房山区","","购物","http://api.map.baidu.com/place/detail?uid=f4ada4cde0bce073b5147f0c&output=html&source=placeapi_v2","1","","",""
11,"一品得茶庄","北京市房山区太平庄东里39","","购物;商铺","http://api.map.baidu.com/place/detail?uid=32cca7a2a3bfc73ed13ce389&output=html&source=placeapi_v2","2","","",""
12,"国华茶庄","拱辰南大街10-4号","13901305378","购物;商铺","http://api.map.baidu.com/place/detail?uid=277013adf91baab85d0d022e&output=html&source=placeapi_v2","5","","",""
13,"小李子茶莊","房山区月华大街义飞百货西侧10米","18610362863","购物;商铺","http://api.map.baidu.com/place/detail?uid=15e21d58f5d2ad14bb17e7a3&output=html&source=placeapi_v2","1","","",""
14,"仙岩轩茶庄","长虹东路8号","13466618913","购物;商铺","http://api.map.baidu.com/place/detail?uid=5281ae37000d0fe1e50738d2&output=html&source=placeapi_v2","5","","",""
15,"宛茗轩茶庄","良乡阳光邑上底商45#-13","18600950576","购物;商铺","http://api.map.baidu.com/place/detail?uid=48f86be8c5d02c129a68b4d2&output=html&source=placeapi_v2","7","","5",""
16,"拱辰茶庄","拱辰大街49号科豪商厦","","购物;商铺","http://api.map.baidu.com/place/detail?uid=43fc54a467979dc0c62ba145&output=html&source=placeapi_v2","7","","3",""
17,"万众香茶庄(南关西路)","罗府家园1-9号","(010)69379075","购物;商铺","http://api.map.baidu.com/place/detail?uid=50f7d1461e0d09c472210bfa&output=html&source=placeapi_v2","4","","",""
18,"持久香茶庄(南关西路)","罗府家园1-1号","(010)60343135","购物;商铺","http://api.map.baidu.com/place/detail?uid=56b56399c7c187281c389457&output=html&source=placeapi_v2","5","","",""
19,"碧昀斋茶庄","良乡欣月家园1号楼3-101号底商","(010)89303493","美食;茶座","http://api.map.baidu.com/place/detail?uid=d4034eb3181dbdf5c13644b3&output=html&source=placeapi_v2","3","","",""
20,"圣福茗茶庄","良乡拱辰北大街20楼3区政府后门","13601320936","购物;商铺","http://api.map.baidu.com/place/detail?uid=73be901e469971744c554745&output=html&source=placeapi_v2","3","","",""
21,"方运盛兴茶庄","长虹西路47号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=de11af39b9bf4164f02d8365&output=html&source=placeapi_v2","6","","3",""
22,"浙金茶庄","良乡文化路55号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=8347bbbdfcc43c693f9a5eed&output=html&source=placeapi_v2","5","","",""
23,"燕星阁茶庄","拱辰南大街荣鹏花园底商（嘿客向北15米）","13263161877","购物;商铺","http://api.map.baidu.com/place/detail?uid=385478fd1cd5ab4e80a00cd9&output=html&source=placeapi_v2","15","","5",""
24,"茗源合茶庄(3店)","月华大街15号(苏庄桥北侧30米)","","购物","http://api.map.baidu.com/place/detail?uid=81597a09bd93318351e5c50d&output=html&source=placeapi_v2","5","","",""
25,"鑫顺茶庄","苏庄北路与苏庄大街交叉口旁","(010)59467965","购物;商铺","http://api.map.baidu.com/place/detail?uid=25a21549fa49f2701e1d112b&output=html&source=placeapi_v2","1","","",""
26,"裕发茶庄","凯旋大街附近","15810979433","购物","http://api.map.baidu.com/place/detail?uid=90d0310fd9ddf06ffbdc850a&output=html&source=placeapi_v2","8","","",""
27,"京闽茶庄","碧桂园8号楼1单元102底商","18201005813","购物;商铺","http://api.map.baidu.com/place/detail?uid=0e2bf23741e7a081e115f9cb&output=html&source=placeapi_v2","2","","",""
28,"响音阁茶庄","上上医近视眼防治研究中心良乡分部附近","","购物","http://api.map.baidu.com/place/detail?uid=d28ec94b5e95cdc7f7e73b2c&output=html&source=placeapi_v2","2","","",""
29,"三人行茶庄","苏庄东街甲2","","购物;商铺","http://api.map.baidu.com/place/detail?uid=9e90a78a8696e6a36f3e1b65&output=html&source=placeapi_v2","2","","",""
30,"茗源合茶庄","北京市房山区拱辰大街物华百汇儿童购物广场1层","","美食","http://api.map.baidu.com/place/detail?uid=e019af351821fbcdd6b74e9d&output=html&source=placeapi_v2","5","","",""
31,"聚贤堂茶楼","北潞馨家园(东南门)附近","","美食;咖啡厅","http://api.map.baidu.com/place/detail?uid=756eff3175e4806e4151c0d8&output=html&source=placeapi_v2","2","","",""
32,"水木清香茶楼","悦盛路6号院1号楼（首创奥特莱斯）一层SQ-16","(010)60356616","美食;茶座","http://api.map.baidu.com/place/detail?uid=33d5561268b3840814c8f60f&output=html&source=placeapi_v2","20","","4.8",""
33,"长阳茶庄","阳城环路17号附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=2d76b5d81b6e7ed9afee7a29&output=html&source=placeapi_v2","4","","",""
34,"璟福源茶庄(黄鹅路)","黄鹅路和河西路的交叉口附近","18611149791","购物;商铺","http://api.map.baidu.com/place/detail?uid=ddd840b72d17059d6cc02ce5&output=html&source=placeapi_v2","4","","",""
35,"璟福源茶庄","黄村镇前辛庄村新村委会对面","","购物;商铺","http://api.map.baidu.com/place/detail?uid=63fd891f0a17f5adb05c6a43&output=html&source=placeapi_v2","2","","",""
36,"张一元茶庄大兴分店","大兴区黄村东大街14号","(010)69203099","购物;商铺","http://api.map.baidu.com/place/detail?uid=fa835ce20315b2afe812e450&output=html&source=placeapi_v2","11","","4.3",""
37,"张一元茶庄大兴兴丰分店","大兴区兴丰大街二段78号","(010)69246858","购物;商铺","http://api.map.baidu.com/place/detail?uid=7daf43048754cf28213bf298&output=html&source=placeapi_v2","5","","5",""
38,"吴裕泰茶庄","北京市大兴区黄村镇永华兴南里1号楼吉星德亿商城","010-69234556","购物;商铺","http://api.map.baidu.com/place/detail?uid=68689d1505049874ab0dd8e4&output=html&source=placeapi_v2","3","","",""
39,"张一元茶庄(清城店)","大兴区黄村镇富强路北区21号楼5单元102室137商铺","(010)69232936","购物;商铺","http://api.map.baidu.com/place/detail?uid=e85e25279cdf0f2e95f08cdf&output=html&source=placeapi_v2","11","","5",""
40,"吴裕泰茶庄","富强西路清城北区117号","(010)69299822","购物;商铺","http://api.map.baidu.com/place/detail?uid=c7fb04bd60906a16fb0cadaf&output=html&source=placeapi_v2","5","","4",""
41,"清源港湾茶庄","黄村镇清源西里","(010)69258161","购物;商铺","http://api.map.baidu.com/place/detail?uid=3a5b7c39cf70c7a2c929152c&output=html&source=placeapi_v2","18","","4.5",""
42,"正瀚文茶楼","北京大兴区黄村镇丽园路康乃馨城小区3号楼107号底墒丽园C区187号院(近兴旺路)","(010)89295188","美食;茶座","http://api.map.baidu.com/place/detail?uid=a2ce6796ce33d64c5d0d0239&output=html&source=placeapi_v2","6","","4",""
43,"吴裕泰茶莊","北京市大兴区兴丰大街帝园商城一层麦当劳东侧","010-69235236","购物;商铺","http://api.map.baidu.com/place/detail?uid=aa40108b9ddc210cc4effb86&output=html&source=placeapi_v2","7","","",""
44,"颐茗园茶庄","龙河街83号","(010)69226411","美食;茶座","http://api.map.baidu.com/place/detail?uid=75d0881a938434543a04b155&output=html&source=placeapi_v2","6","","",""
45,"国缘茶楼","康庄路国缘宾馆内","(010)53610153","美食;茶座","http://api.map.baidu.com/place/detail?uid=62bdb6cb4e264926c9fa5fb1&output=html&source=placeapi_v2","2","","",""
46,"大槐树茶楼","富强路137号","","美食;茶座","http://api.map.baidu.com/place/detail?uid=4a16b81b1ce2f41308ccdd8d&output=html&source=placeapi_v2","8","","",""
47,"京华茶庄","兴丰北大街滨河南街底商","(010)52477816","购物;商铺","http://api.map.baidu.com/place/detail?uid=05191639a0260586b2077d3d&output=html&source=placeapi_v2","4","","",""
48,"万源茶庄","海子角南路与黄徐路交叉口西200米","13436919034","购物;商铺","http://api.map.baidu.com/place/detail?uid=50c0bfb1c6ca3bed94ec84a9&output=html&source=placeapi_v2","3","","",""
49,"康安茶庄","大兴区兴华北路二段99号彩虹新城北门东侧(近兴丰大街)","(010)69201387,18600108288","美食;茶座","http://api.map.baidu.com/place/detail?uid=3810c879983aa6929d09f7bd&output=html&source=placeapi_v2","9","","5",""
50,"宏远茶楼","北京市大兴区华昱家园西门","","美食;茶座","http://api.map.baidu.com/place/detail?uid=c8c43d69f4950f4994ec84f4&output=html&source=placeapi_v2","5","","",""
51,"吴裕泰茶庄(黄徐路)","海子角南里物美大卖场底商吴裕泰茶庄","(010)61219772","购物;商铺","http://api.map.baidu.com/place/detail?uid=6c130ac0e13e8486c91b95ef&output=html&source=placeapi_v2","2","","",""
52,"吴裕泰茶庄帝园","北京市大兴区兴丰大街62号","(010)69233423","购物;商铺","http://api.map.baidu.com/place/detail?uid=7f5169b2fd4fdea271455b12&output=html&source=placeapi_v2","8","","",""
53,"清源茶庄","清源西路2号附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=6664a8f704994171a5da39e0&output=html&source=placeapi_v2","1","","",""
54,"京峰茶庄(滨河街)","滨河街3号附近","13121860089","购物;商铺","http://api.map.baidu.com/place/detail?uid=c5bedf6c603f32deb9df8ffa&output=html&source=placeapi_v2","3","","",""
55,"京峰茶庄(观音寺街)","北京市大兴区观音寺街23号","(010)69257376","购物;商铺","http://api.map.baidu.com/place/detail?uid=056cf7e9c278cd739403190c&output=html&source=placeapi_v2","1","","",""
56,"北京程宏康安茶庄","大兴区兴华北路二段99号彩虹新城北门东侧(近兴丰大街)","18601156477","休闲娱乐","http://api.map.baidu.com/place/detail?uid=934c8ab44ac2b6ef3010afc5&output=html&source=placeapi_v2","1","","",""
57,"无泰溢香茶庄","北京市大兴区","","购物;商铺","http://api.map.baidu.com/place/detail?uid=0df0d868e8524cefe4073851&output=html&source=placeapi_v2","1","","0",""
58,"元泰溢香茶庄","兴政街31号附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=847a8475ce7d00a971210b70&output=html&source=placeapi_v2","3","","",""
59,"玉蓉茶庄","林校路21号附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=4fd4afbefc3da56f4c2fdfdc&output=html&source=placeapi_v2","1","","",""
60,"丽园茗春茶庄","北京市大兴区","","购物;商铺","http://api.map.baidu.com/place/detail?uid=91b508feccd9aef3aecb6672&output=html&source=placeapi_v2","3","","",""
61,"天地春茶庄","红楼南巷","","购物;商铺","http://api.map.baidu.com/place/detail?uid=91afb2ef8d324daa9222e055&output=html&source=placeapi_v2","5","","",""
62,"万众香茶庄(大兴分店)","滨河西里甲36号楼底商","(010)69208350,(010)69250010","美食;茶座","http://api.map.baidu.com/place/detail?uid=b267ec18eb911ac88c55ec50&output=html&source=placeapi_v2","13","","5",""
63,"京明茶庄","七条聚鑫隆华治安联防办公室附近","","购物","http://api.map.baidu.com/place/detail?uid=b11101742ca8bff7b320a828&output=html&source=placeapi_v2","1","","",""
64,"羿隆茶庄","北京市大兴区","","美食","http://api.map.baidu.com/place/detail?uid=310041b77320140af90cad71&output=html&source=placeapi_v2","1","","",""
65,"浓香茶庄(清广路五巷)","清广路五巷附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=0cb7cc5c299369d5593ac8d8&output=html&source=placeapi_v2","1","","",""
66,"旭清茶庄","清源西路市场治安办公室附近","","购物","http://api.map.baidu.com/place/detail?uid=23a74c73bad5b8f62b11d136&output=html&source=placeapi_v2","1","","",""
67,"满庭芳茶庄(团河苑小区南)","沐新路北京科力博桑食品有限公司附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=998c8a8b65a1523b3f9a5e01&output=html&source=placeapi_v2","1","","",""
68,"顺心茶庄","团桂路附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=a907b6b7d9a528467adbd2b6&output=html&source=placeapi_v2","2","","",""
69,"新茗香茶庄","台球厅(团河医院东南)附近","","购物","http://api.map.baidu.com/place/detail?uid=ad5bd1783b5ffce929fc4821&output=html&source=placeapi_v2","1","","",""
70,"张一元茶庄(马驹桥店)","西后街百尚生活广场底商","(010)60599338","购物;商铺","http://api.map.baidu.com/place/detail?uid=2527be1e845ac2ce4afc8d2b&output=html&source=placeapi_v2","10","","5",""
71,"祥云阁茶楼","马驹桥星海南里100号楼2层208","13552535722,(010)59295293","美食;茶座","http://api.map.baidu.com/place/detail?uid=16e776bfc973100e1e58003c&output=html&source=placeapi_v2","3","","",""
72,"吴裕泰茶庄","亦庄镇博兴7路鹿海苑小区1里甲20号首航超市一层","010-67808318,18610145620","购物;商铺","http://api.map.baidu.com/place/detail?uid=8ec6723bd40c2eadddee8b9a&output=html&source=placeapi_v2","20","","5",""
73,"绿峰茶庄(老车站)","张采路","","美食;茶座","http://api.map.baidu.com/place/detail?uid=39209f897a3991f17369d3e8&output=html&source=placeapi_v2","5","","",""
