"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
1,"吴裕泰茶庄","云岗北区东里1号侧","(010)83310841","购物;商铺","http://api.map.baidu.com/place/detail?uid=4fc3161a89e43eb03b13fd86&output=html&source=placeapi_v2","6","","2.7",""
2,"张一元茶庄","北京丰台区长辛店朱家坟五里2号院44号","(010)51158822","购物;商铺","http://api.map.baidu.com/place/detail?uid=750ec165e554d9324d3a59aa&output=html&source=placeapi_v2","3","","4",""
3,"永兴茶庄","北京丰台区云岗路","","购物;商铺","http://api.map.baidu.com/place/detail?uid=34059f97e160935471455b3f&output=html&source=placeapi_v2","3","","5",""
4,"吴裕泰茶庄","北兴路7号吉星德亿家居广场","(010)60293726","购物;商铺","http://api.map.baidu.com/place/detail?uid=53f7beabe9b0106cbca8221c&output=html&source=placeapi_v2","4","","4",""
5,"吴裕泰茶庄狼垡店","黄村镇狼垡二村长丰园一区23号楼4号吴裕泰茶庄","010-61228116","购物;商铺","http://api.map.baidu.com/place/detail?uid=6f679a374d52966e81a12eb3&output=html&source=placeapi_v2","5","","",""
6,"京闽茶庄(马连道:狼垡分店)","长丰园二区3狼垡东路","13041159235","购物;商铺","http://api.map.baidu.com/place/detail?uid=4d1ba678601afcf1f942b2cb&output=html&source=placeapi_v2","3","","",""
7,"润众祥茶庄","北京市大兴区","","美食;茶座","http://api.map.baidu.com/place/detail?uid=b738f3273ce9e83759bbbc12&output=html&source=placeapi_v2","1","","",""
8,"吴裕泰茶庄","槐房西路南庭新苑A17-15","(010)67975122","购物;商铺","http://api.map.baidu.com/place/detail?uid=a39096b47bcd2f915d0d025e&output=html&source=placeapi_v2","3","","",""
9,"信和茶庄","槐房路同兴园小区东门对过","","购物;商铺","http://api.map.baidu.com/place/detail?uid=596fca59a61eedbd26e0a0cb&output=html&source=placeapi_v2","2","","2",""
10,"七品茶庄","北京市大兴区南西路","","美食","http://api.map.baidu.com/place/detail?uid=f81570cb3b5c036dbe48422f&output=html&source=placeapi_v2","1","","",""
11,"张一元茶庄东高地分店","丰台区东高地梅园小区44号楼","(010)68759547","购物;商铺","http://api.map.baidu.com/place/detail?uid=4ea3f2f185d050b3afcb668c&output=html&source=placeapi_v2","5","","4.3",""
12,"张一元茶庄旧宫店","大兴区旧宫镇佳和园底商2-6号(物美商城路口东北角)","(010)87967991","购物;商铺","http://api.map.baidu.com/place/detail?uid=6835e3a76ed90933e31103d1&output=html&source=placeapi_v2","9","","3.8",""
13,"龙首茶庄","北京大兴区清和园公交车站路南(近清乐园底商10号)","13910675848","购物;商铺","http://api.map.baidu.com/place/detail?uid=15e1e85e068b14df58109330&output=html&source=placeapi_v2","11","","5",""
14,"吴裕泰茶庄(南苑店)","南苑路与龙河路交叉口西100米路南","(010)67940263","购物;商铺","http://api.map.baidu.com/place/detail?uid=b137775ae4ad769bb6f42f3a&output=html&source=placeapi_v2","19","","",""
15,"吴裕泰茶庄(旧宫店)","旧宫西路清逸西园1号楼底商","010-87972758","购物;商铺","http://api.map.baidu.com/place/detail?uid=101bc61b42d395bac42ba126&output=html&source=placeapi_v2","18","","3.1",""
16,"福兴德茶庄东高地店","万源路","","购物;商铺","http://api.map.baidu.com/place/detail?uid=49a27606e727b4d9077ce873&output=html&source=placeapi_v2","8","","",""
17,"沁园茶庄","南小街南路武汉热干面对面","","购物;商铺","http://api.map.baidu.com/place/detail?uid=f5f71cfed60177128936ee75&output=html&source=placeapi_v2","4","","",""
18,"裕兴茶庄","旧宫东路重庆麻辣烫旁","","购物;商铺","http://api.map.baidu.com/place/detail?uid=d305db1f909c0b27922ca3b0&output=html&source=placeapi_v2","6","","",""
19,"张一元茶庄亦庄店","天华西路与北环西路交叉口旁(富驿时尚酒店旁)","(010)67863595","购物;商铺","http://api.map.baidu.com/place/detail?uid=46e86fdd99976576d13ce352&output=html&source=placeapi_v2","14","","3.9",""
20,"吴裕泰茶庄(亦庄店)","北京市大兴区经济开发区荣华中路7号院国融国际底商","010-67830284","购物;商铺","http://api.map.baidu.com/place/detail?uid=78bd50f72f51d64230870ae0&output=html&source=placeapi_v2","8","","4.7",""
21,"张一元茶庄亦庄天宝园分店","大兴区亦庄经济技术开发区天宝南街(上海沙龙新天地商业中心D1)","(010)67820930","购物;商铺","http://api.map.baidu.com/place/detail?uid=c5ddcc085d086edfd8131810&output=html&source=placeapi_v2","12","","3.9",""
22,"山水悦岩茶坊","大兴区亦庄经济技术开发区天宝中路上海沙龙商业二期02G016","(010)67809295","美食;茶座","http://api.map.baidu.com/place/detail?uid=d6c5d99140758af130169b55&output=html&source=placeapi_v2","203","","4.8",""
23,"金唐园茶楼","北京经济技术开发区亦庄开发区中央公馆10号楼b0底商","","美食;茶座","http://api.map.baidu.com/place/detail?uid=9b01e9766b43be25ad080fb5&output=html&source=placeapi_v2","3","","",""
24,"吴裕泰茶庄","北京市大兴区亦庄荣京道项目A1号楼103号商铺","(010)67856351","购物;商铺","http://api.map.baidu.com/place/detail?uid=58065d7f9ce9b03008f5eb0e&output=html&source=placeapi_v2","2","","",""
25,"元亨号茶庄","长辛店大街104号附近","(010)83868983","美食;咖啡厅","http://api.map.baidu.com/place/detail?uid=0f0ab0dfec8440d2c51e5135&output=html&source=placeapi_v2","1","","4",""
