"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
1,"正兴德茶叶店","牛街5-1","(010)63558399","购物;商铺","http://api.map.baidu.com/place/detail?uid=56e88cba95e87d7ca5c756a3&output=html&source=placeapi_v2","10","","4.1",""
2,"茶叶店","北京市西城区","","购物","http://api.map.baidu.com/place/detail?uid=0b9ac6c2db67b9ecc91b9581&output=html&source=placeapi_v2","5","","",""
3,"大益普洱茶(北京芍药居文学馆路嘉木源茶叶店)","北京市朝阳区芍药居文学馆路36号楼底商","13911714808","购物;商铺","http://api.map.baidu.com/place/detail?uid=dd0ff3445a8dcf81f02d83d7&output=html&source=placeapi_v2","10","","5",""
4,"裕元厚茶叶店(劲松路)","朝阳区劲松二区222号1楼底商","(010)67752721","购物;商铺","http://api.map.baidu.com/place/detail?uid=cac5fc76aa2b87ea2db96de8&output=html&source=placeapi_v2","4","","3",""
5,"和瑞雅集茶叶店","东城区崇文门国瑞北路48号(近崇文少年宫)","(010)67188663","购物;商铺","http://api.map.baidu.com/place/detail?uid=462bf3d8d3d00fa8c17da205&output=html&source=placeapi_v2","21","","5",""
6,"憩园茶叶店","雍和宫大街52号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=d2e288a787aac070d3ff23fe&output=html&source=placeapi_v2","12","","4.5",""
7,"张一元茶叶店","西红门路9号(近小白羊超市七号店)","(010)67921992","购物;商铺","http://api.map.baidu.com/place/detail?uid=6ee0102038401bf653e5c5a9&output=html&source=placeapi_v2","11","","3.4",""
8,"北京艺双辉茶叶店","鲁谷东街19-5号","(010)88681985","美食;茶座","http://api.map.baidu.com/place/detail?uid=7388dffd55276695d2ff23a0&output=html&source=placeapi_v2","17","","5",""
9,"北京吴裕泰次渠茶叶店","台湖镇次渠怡芳园小区底商","010-69502077","购物;商铺","http://api.map.baidu.com/place/detail?uid=d2ec7c09fdf9e509c5effbbe&output=html&source=placeapi_v2","33","","5",""
10,"裕元厚潘家园茶叶店","潘家园甲2号临4号","(010)67783787","购物;商铺","http://api.map.baidu.com/place/detail?uid=dfc496b69688e3af8836ee82&output=html&source=placeapi_v2","12","","",""
11,"茶苑轩茶叶店","北京通州区盐河路","15911069502","购物;商铺","http://api.map.baidu.com/place/detail?uid=f951c9a6e45237d9c26c14e3&output=html&source=placeapi_v2","7","","",""
12,"京华茶叶店","迎宾中路甲42-3号","15910219746","购物;商铺","http://api.map.baidu.com/place/detail?uid=600afebbb8d108bc9f09f765&output=html&source=placeapi_v2","3","","",""
13,"凯达茗荷茶叶店","北京市丰台区丰台东路天蓝天尾货3层","","购物;商铺","http://api.map.baidu.com/place/detail?uid=b6d5a46ffa2d5f2038221c6a&output=html&source=placeapi_v2","1","","",""
14,"北京紫香茗苑茶叶店","北京市朝阳区兴隆街11号","(010)85755901,13911098536","购物;商铺","http://api.map.baidu.com/place/detail?uid=94ed7a6968385ef7eddfcacd&output=html&source=placeapi_v2","4","","",""
15,"茗香坊(茶叶店)","新华路26号附近","","购物","http://api.map.baidu.com/place/detail?uid=18129a0bd777e00df6c59c9c&output=html&source=placeapi_v2","4","","1",""
16,"尚茗茶叶店","旧桥路12号院5号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=20115de280ffd99fca09f023&output=html&source=placeapi_v2","2","","3",""
17,"北京泓汉兴缘茶叶店（天通苑店）","昌平区天通苑东三区北苑东路利康虹桥市场一厅茶城82号","(010)60740976","购物;商铺","http://api.map.baidu.com/place/detail?uid=7d6a24f3f6fd5e641fe999e8&output=html&source=placeapi_v2","1","","",""
18,"大益茶（望京广顺北大街嘉木源茶叶店)","广顺北大街17号六佰本商业中心北区一层B18号","13901061875","购物;商铺","http://api.map.baidu.com/place/detail?uid=7d5f3a0a808700522db908bd&output=html&source=placeapi_v2","4","","",""
19,"大益普洱茶(岳各庄嘉木源茶叶店)","北京市丰台区岳各庄丰台路41号红星美凯龙五层","13910222867","购物;商铺","http://api.map.baidu.com/place/detail?uid=7e2dd22c2a15e60614948e4b&output=html&source=placeapi_v2","4","","",""
20,"竹叶青茶叶店","建国门外大街22号赛特购物中心B1","13391941114,13391941114","购物;商铺","http://api.map.baidu.com/place/detail?uid=52cf6fa47b83f1026b49f3d8&output=html&source=placeapi_v2","10","","5",""
21,"北京吴裕泰妫恒茶叶店","延庆县延庆镇高塔街58号","(010)60168628","购物;商铺","http://api.map.baidu.com/place/detail?uid=fe879182f793d0f632f71d6d&output=html&source=placeapi_v2","3","","",""
22,"民饮茶叶店","于家园三区25","(010)69686964","购物;商铺","http://api.map.baidu.com/place/detail?uid=480b24d0f47894f19cec2b70&output=html&source=placeapi_v2","2","","",""
23,"更香茶叶店","北京市丰台区顺六条28号附近","(010)87698687","购物","http://api.map.baidu.com/place/detail?uid=cfa31fdcd1084f8d354aaee3&output=html&source=placeapi_v2","4","","",""
24,"茶清心茶叶店(北京店)","南场东路8号附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=201a15dd8d94b11508f5eb42&output=html&source=placeapi_v2","5","","",""
25,"井龙茶叶店","育才路33号附近","(010)80282160","购物;商铺","http://api.map.baidu.com/place/detail?uid=652db968ee58c24909b93a21&output=html&source=placeapi_v2","2","","",""
26,"北京朝阳区管庄乡马泽堃茶叶店","管庄路金时代北侧二层","18610376562","购物","http://api.map.baidu.com/place/detail?uid=130ab9ecf15b15b0badf8fa0&output=html&source=placeapi_v2","5","","",""
27,"天作茶叶店","北京市海淀区中关村南大街乙12号天作国际2层","","购物;商铺","http://api.map.baidu.com/place/detail?uid=1c7a5375a2417916bfa822cb&output=html&source=placeapi_v2","2","","",""
28,"红熙官茶叶店","大鲁店北路富力又一城B区20-5","18911306211","购物;商铺","http://api.map.baidu.com/place/detail?uid=39240bd48dc45c3e7169d3a8&output=html&source=placeapi_v2","4","","",""
29,"礼贤供销社茶叶店","南后街与庙前巷交叉口北150米","","购物;商铺","http://api.map.baidu.com/place/detail?uid=c2c44438d7047f6e240bd05b&output=html&source=placeapi_v2","1","","",""
30,"高氏茗品茶叶店","马连道路6号北京国际茶城1楼F1-18号","(010)63340131,13146245011","","http://api.map.baidu.com/place/detail?uid=2848ffd66b2b091649cc4a93&output=html&source=placeapi_v2","2","","",""
31,"一开香茶叶店","朱大路附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=1c0b8af231a7539642d63ec9&output=html&source=placeapi_v2","1","","",""
32,"崔村品香茶叶店","昌崔路附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=ddac745b7c351d540d3dda81&output=html&source=placeapi_v2","2","","",""
33,"清香茶叶店","柴小路附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=934a8926d0eeaf452cb90814&output=html&source=placeapi_v2","2","","",""
34,"兴辉茶叶店","安四路附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=345aa578ef5baa71eedfca17&output=html&source=placeapi_v2","1","","",""
