"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
1,"逐鹿茶楼(学院路店)","北京市海淀区学院路6号院1-9","(010)82395958,(010)82396821","美食;茶座","http://api.map.baidu.com/place/detail?uid=22e11407bbb1d7add5b74e58&output=html&source=placeapi_v2","335","","4.5",""
2,"三国鼎盛茶楼","北京市朝阳区安立路甲52号","","美食;茶座","http://api.map.baidu.com/place/detail?uid=101bc61b7862efbac42ba151&output=html&source=placeapi_v2","451","","4.2",""
3,"逐鹿茶楼(西直门店)","学院南路学院派A座2层","(010)62227688","美食;茶座","http://api.map.baidu.com/place/detail?uid=05dd7d5f2f6b4c18ad080f5b&output=html&source=placeapi_v2","239","","4.1",""
4,"广茗阁茶馆","北京市西城区鼓楼西大街61号广茗阁茶楼","(010)64011676","美食;茶座","http://api.map.baidu.com/place/detail?uid=56e88cba95f07d7ca5c756bb&output=html&source=placeapi_v2","2377","","3.3",""
5,"露雨轩茶楼(牡丹园店)","北京市海淀区北太平庄路2号(月季园北门)","(010)82082728","美食;中餐厅","http://api.map.baidu.com/place/detail?uid=5c2dc21d8184e41d6fc02c5b&output=html&source=placeapi_v2","230","","4.8",""
6,"逐鹿茶楼(望京店)","湖光中街9-2号","010-62277789","美食;茶座","http://api.map.baidu.com/place/detail?uid=593850fbbe9b0f44df1e5257&output=html&source=placeapi_v2","323","","5",""
7,"吴裕泰茶庄","北京市东城区东直门东四北大街46号","010-64041928","购物;商铺","http://api.map.baidu.com/place/detail?uid=6ee0102049396af653e5c586&output=html&source=placeapi_v2","160","","4.3",""
8,"问天阁茶楼","北京市三里河东路一区5-2号","(010)68577966, (010)68530368","购物;商铺","http://api.map.baidu.com/place/detail?uid=cd2cb74ccffe9bc2260bd0ee&output=html&source=placeapi_v2","290","","4.9",""
9,"避风塘茶楼(华堂店)","北京朝阳区十里堡甘露西园1号楼(十里堡火车桥西边)","(010)65575236","美食;茶座","http://api.map.baidu.com/place/detail?uid=bbe9feb31a682c02a2d230cf&output=html&source=placeapi_v2","132","","4.5",""
10,"吴裕泰茶庄","前门大街42号","(010)67023869","购物;商铺","http://api.map.baidu.com/place/detail?uid=7524cb4f34b6f72d04026fcb&output=html&source=placeapi_v2","14","","4.3",""
11,"张一元茶庄(前门大街分店)","北京市东城区前门大街86号","010-67019371","购物;商铺","http://api.map.baidu.com/place/detail?uid=9ee7cc7872973f6917c905b2&output=html&source=placeapi_v2","80","","4.1",""
12,"吴裕泰茶庄","北京市东城区王府井大街186号","010-65254961","购物;商铺","http://api.map.baidu.com/place/detail?uid=24d055084b0228b6138824a9&output=html&source=placeapi_v2","958","","4.3",""
13,"茶楼","北京市朝阳区安慧北里逸园28号楼","(010)64932360,(010)64980768","美食;中餐厅","http://api.map.baidu.com/place/detail?uid=4cf8d24e4baa34fd9df779bb&output=html&source=placeapi_v2","29","","4",""
14,"避风塘茶楼(万通店)","北京市西城区南礼士路1号3","010-68058936","美食;中餐厅","http://api.map.baidu.com/place/detail?uid=d991e1161e01f94c1e3894a7&output=html&source=placeapi_v2","72","","3.2",""
15,"七彩云南庆沣祥茶庄(金融街店)","北京市西城区金融街广宁伯街2号","010-52601089","美食;茶座","http://api.map.baidu.com/place/detail?uid=2527be1e32875caa4afc8d50&output=html&source=placeapi_v2","35","","4.5",""
